ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	dPSI
1137	AT4G02760		chr4	-	1228162.0	1228236.0	1227479.0	1228011.0	1228662.0	1229014.0	1137	1,3,5,5,4,1,7,4	3,3,7,11,4,2,9,13	0,1,2,0,0,0	4,2,8,4,10,5	149	75	1.99970314751e-08	4.2893632514089496e-05	0.144,0.335,0.264,0.186,0.335,0.201,0.281,0.134	0.0,0.201,0.112,0.0,0.0,0.0	0.183	SE													0.183
2482	AT3G20720		chr3	+	7242629.0	7242702.0	7242459.0	7242539.0	7242807.0	7242851.0	2482	7,14,16,35,15,8,23,35	2,0,3,10,0,0,3,2	9,4,39,22,16,8	0,0,0,0,4,0	148	75	2.49505423988e-05	0.026759456722713	0.639,1.0,0.73,0.639,1.0,1.0,0.795,0.899	1.0,1.0,1.0,1.0,0.67,1.0	-0.107	SE													-0.107
436	AT5G11630		chr5	+							436	4,8,8,17,4,4,13,11	0,0,0,2,0,0,2,4	4,1,14,4,8,2	2,3,6,3,2,0	140	75	1.83477369767e-05	0.0120361154567151	1.0,1.0,1.0,0.82,1.0,1.0,0.777,0.596	0.517,0.152,0.556,0.417,0.682,1.0	0.345	A5SS	3740758.0	3740942.0	3740758.0	3740877.0	3741503.0	3741827.0							0.345
517	AT1G78690		chr1	+							517	2,7,8,10,6,1,4,9	0,4,1,7,2,0,6,4	1,2,9,2,20,1	0,1,2,0,2,0	95	75	4.57229990785e-05	0.0199961915969973	1.0,0.58,0.863,0.53,0.703,1.0,0.345,0.64	1.0,0.612,0.78,1.0,0.888,1.0	-0.172	A5SS	29596982.0	29597210.0	29596982.0	29597190.0	29597315.0	29597446.0							-0.172
1422	AT1G49980	POLK	chr1	+							1422	2,2,0,3,3,3,8,11	4,3,6,15,0,4,9,7	0,1,2,1,1,0	4,1,4,5,8,2	106	75	6.77453646536e-05	0.0222204796063807	0.261,0.321,0.0,0.124,1.0,0.347,0.386,0.526	0.0,0.414,0.261,0.124,0.081,0.0	0.224	A5SS	18511848.0	18511993.0	18511848.0	18511962.0	18512089.0	18512512.0							0.224
1423	AT1G49980	POLK	chr1	+							1423	1,3,0,3,2,1,6,10	4,3,6,15,0,4,9,7	0,0,2,0,0,0	4,1,4,5,8,2	111	75	6.70755034182e-07	0.0008800306048467	0.145,0.403,0.0,0.119,1.0,0.145,0.311,0.491	0.0,0.0,0.253,0.0,0.0,0.0	0.285	A5SS	18511848.0	18511998.0	18511848.0	18511962.0	18512089.0	18512512.0							0.285
1459	AT5G61960	ML1	chr5	-							1459	3,4,12,14,5,1,10,15	2,0,0,1,0,0,3,2	4,4,15,5,7,3	3,0,3,3,2,2	150	75	0.000288422001828	0.0473012082997919	0.429,1.0,1.0,0.875,1.0,1.0,0.625,0.789	0.4,1.0,0.714,0.455,0.636,0.429	0.234	A5SS	24883691.0	24883955.0	24883907.0	24883955.0	24883550.0	24883573.0							0.234
1461	AT5G61960	ML1	chr5	-							1461	2,3,7,7,3,1,9,13	2,0,0,1,0,0,3,2	4,1,7,4,4,1	3,0,3,3,2,2	110	75	9.40378046355e-05	0.0246755199363552	0.405,1.0,1.0,0.827,1.0,1.0,0.672,0.816	0.476,1.0,0.614,0.476,0.577,0.254	0.274	A5SS	24883872.0	24884174.0	24883907.0	24884174.0	24883550.0	24883573.0							0.274
1713	AT2G31370	POSF21	chr2	+							1713	1,1,0,1,0,0,9,0	5,7,19,26,5,4,10,15	4,4,8,1,4,2	4,7,21,8,15,4	86	75	0.000179359873362	0.0392200256418239	0.149,0.111,0.0,0.032,0.0,0.0,0.44,0.0	0.466,0.333,0.249,0.098,0.189,0.304	-0.182	A5SS	13380713.0	13381103.0	13380713.0	13381092.0	13381219.0	13381761.0							-0.182
542	AT3G59410	GCN2	chr3	+							542	1,0,1,1,0,0,5,0	6,2,10,18,8,3,16,4	2,1,7,3,5,3	3,0,16,12,16,7	78	75	4.00121604212e-05	0.0110262082074992	0.138,0.0,0.088,0.051,0.0,0.0,0.231,0.0	0.391,1.0,0.296,0.194,0.231,0.292	-0.337	A3SS	21952500.0	21952722.0	21952503.0	21952722.0	21951823.0	21952228.0							-0.337
622	AT2G01690		chr2	-							622	0,1,2,5,1,2,2,4	9,13,12,15,7,3,15,10	1,0,0,0,1,0	10,5,11,16,24,8	78	75	9.35959139492e-06	0.0061045669610898	0.0,0.069,0.138,0.243,0.121,0.391,0.114,0.278	0.088,0.0,0.0,0.0,0.039,0.0	0.148	A3SS	312420.0	312452.0	312420.0	312449.0	312532.0	312652.0							0.148
811	AT1G11870	OVA7	chr1	+							811	8,6,11,31,7,3,10,20	1,3,0,2,0,0,2,1	6,7,13,6,6,6	4,1,2,1,6,0	81	75	0.000280850699701	0.049250999974839	0.881,0.649,1.0,0.935,1.0,1.0,0.822,0.949	0.581,0.866,0.858,0.847,0.481,1.0	0.132	A3SS	4004169.0	4004321.0	4004175.0	4004321.0	4003845.0	4004099.0							0.132
945	AT5G13790	AGL15	chr5	-							945	0,2,0,4,1,0,1,4	1,1,1,1,4,1,4,0	0,1,1,3,4,1	1,0,0,0,0,0	84	75	1.06398374111e-06	0.0020524246366011	0.0,0.641,0.0,0.781,0.182,0.0,0.182,1.0	0.0,1.0,1.0,1.0,1.0,1.0	-0.485	A3SS	4450248.0	4450319.0	4450248.0	4450310.0	4450387.0	4450448.0							-0.485
1368	AT1G05870		chr1	-							1368	11,11,36,44,11,8,28,33	1,2,1,3,1,0,3,0	7,12,31,12,33,16	1,3,7,5,1,6	132	75	5.21299753847e-05	0.0125698403146357	0.862,0.758,0.953,0.893,0.862,1.0,0.841,1.0	0.799,0.694,0.716,0.577,0.949,0.602	0.173	A3SS	1771386.0	1771814.0	1771386.0	1771757.0	1771891.0	1771954.0							0.173
1802	AT1G76710	ASHH1	chr1	-							1802	0,1,1,0,0,1,0,0	7,5,14,17,7,7,12,12	0,4,2,2,4,2	9,5,16,12,10,8	102	75	9.49388329874e-06	0.0061045669610898	0.0,0.128,0.05,0.0,0.0,0.095,0.0,0.0	0.0,0.37,0.084,0.109,0.227,0.155	-0.123	A3SS	28789728.0	28790189.0	28789728.0	28790162.0	28790243.0	28790703.0							-0.123
1944	AT5G25520		chr5	+							1944	2,0,8,7,0,2,6,3	2,9,14,26,8,3,15,13	0,0,5,1,0,0	1,7,11,8,14,8	105	75	0.000237131315507	0.0457426307613002	0.417,0.0,0.29,0.161,0.0,0.323,0.222,0.142	0.0,0.0,0.245,0.082,0.0,0.0	0.14	A3SS	8888668.0	8889904.0	8888698.0	8889904.0	8888097.0	8888590.0							0.14
2015	AT5G37370	SRL1	chr5	-							2015	11,19,17,25,5,1,21,23	2,2,6,2,0,0,2,6	4,8,21,20,11,3	3,3,13,7,7,7	150	75	6.01100848117e-05	0.012883594844641	0.733,0.826,0.586,0.862,1.0,1.0,0.84,0.657	0.4,0.571,0.447,0.588,0.44,0.176	0.376	A3SS	14814825.0	14815545.0	14814825.0	14815283.0	14815697.0	14816046.0							0.376
2037	AT1G28090		chr1	+							2037	3,3,6,13,1,4,22,4	0,1,1,3,0,0,1,1	5,2,4,10,11,3	4,0,2,3,0,2	150	75	1.63922244516e-05	0.0075499725135472	1.0,0.6,0.75,0.684,1.0,1.0,0.917,0.667	0.385,1.0,0.5,0.625,1.0,0.429	0.171	A3SS	9797974.0	9798203.0	9798141.0	9798203.0	9797775.0	9797883.0							0.171
143	AT4G25990	CIL	chr4	-			13191084.0	13191990.0	13192148.0	13192301.0	143	6,4,2,4,1,2,1,5	0,2,8,2,0,2,5,1	0,1,0,0,0,0	2,1,1,2,1,3	150	75	2.32999119998e-09	1.065038977510858e-05	1.0,0.5,0.111,0.5,1.0,0.333,0.091,0.714	0.0,0.333,0.0,0.0,0.0,0.0	0.476	RI											13191084.0	13192301.0	0.476
330	AT4G14740		chr4	-			8450157.0	8450455.0	8450536.0	8450775.0	330	9,9,21,34,6,1,21,25	6,0,4,6,2,1,1,2	12,8,19,13,37,9	0,2,0,2,1,0	150	75	6.15578022145e-05	0.0133990816153561	0.429,1.0,0.724,0.739,0.6,0.333,0.913,0.862	1.0,0.667,1.0,0.765,0.949,1.0	-0.197	RI											8450157.0	8450775.0	-0.197
447	AT4G01540	NAC68	chr4	-			670482.0	670695.0	670801.0	670951.0	447	1,0,6,3,1,3,1,2	3,1,3,3,2,0,8,2	0,0,3,1,0,0	5,1,8,4,6,1	150	75	3.56470523383e-05	0.0095848633081393	0.143,0.0,0.5,0.333,0.2,1.0,0.059,0.333	0.0,0.0,0.158,0.111,0.0,0.0	0.276	RI											670482.0	670951.0	0.276
693	AT2G32410	AXL1	chr2	+			13760061.0	13760147.0	13760326.0	13760410.0	693	3,2,3,3,5,0,2,4	1,3,2,4,1,3,10,4	0,3,0,0,3,0	1,5,10,2,4,1	150	75	0.000248670698481	0.0360882111989888	0.6,0.25,0.429,0.273,0.714,0.0,0.091,0.333	0.0,0.231,0.0,0.0,0.273,0.0	0.252	RI											13760061.0	13760410.0	0.252
919	AT4G17310		chr4	-			9685665.0	9686024.0	9686443.0	9686616.0	919	2,1,2,3,1,1,6,2	0,0,1,4,0,0,0,0	0,1,5,5,4,0	1,2,0,1,1,3	150	75	4.11860370697e-05	0.0099588794032298	1.0,1.0,0.5,0.273,1.0,1.0,1.0,1.0	0.0,0.2,1.0,0.714,0.667,0.0	0.416	RI											9685665.0	9686616.0	0.416
1555	AT1G77580	FPP1	chr1	-			29144024.0	29144568.0	29144661.0	29146337.0	1555	1,0,2,8,1,0,4,7	1,4,5,7,1,1,5,9	0,0,0,0,3,0	2,1,2,3,5,3	150	75	1.17342641948e-06	0.000859698402745	0.333,0.0,0.167,0.364,0.333,0.0,0.286,0.28	0.0,0.0,0.0,0.0,0.231,0.0	0.182	RI											29144024.0	29146337.0	0.182
1807	AT1G63855		chr1	-			23699834.0	23699919.0	23700014.0	23700108.0	1807	6,13,13,9,5,5,41,19	0,3,0,9,0,2,0,2	4,9,5,20,10,3	0,0,1,1,0,0	150	75	0.000199268313252	0.0303618486624964	1.0,0.684,1.0,0.333,1.0,0.556,1.0,0.826	1.0,1.0,0.714,0.909,1.0,1.0	-0.137	RI											23699834.0	23700108.0	-0.137
1815	AT1G60440	PANK1	chr1	-			22268316.0	22268433.0	22268539.0	22268586.0	1815	6,13,12,16,10,0,40,20	6,7,11,21,4,1,8,9	2,2,9,7,9,5	7,10,19,10,15,8	150	75	0.00041985067028	0.0492086516371764	0.333,0.481,0.353,0.276,0.556,0.0,0.714,0.526	0.125,0.091,0.191,0.259,0.231,0.238	0.216	RI											22268316.0	22268586.0	0.216
1893	AT4G02120		chr4	+			943578.0	943627.0	943706.0	943787.0	1893	16,5,8,17,6,3,19,15	10,25,29,54,18,12,25,37	0,0,6,8,15,0	21,12,52,33,38,16	150	75	0.00016736970739	0.0294248820184496	0.444,0.091,0.121,0.136,0.143,0.111,0.275,0.169	0.0,0.0,0.055,0.108,0.165,0.0	0.132	RI											943578.0	943787.0	0.132
2074	AT2G01900		chr2	+			405761.0	405987.0	406132.0	406311.0	2074	1,3,5,4,0,1,3,2	0,2,1,5,1,0,3,6	2,1,11,3,11,1	0,0,5,0,0,2	150	75	0.000174591897846	0.0295577616686691	1.0,0.429,0.714,0.286,0.0,1.0,0.333,0.143	1.0,1.0,0.524,1.0,1.0,0.2	-0.299	RI											405761.0	406311.0	-0.299
2162	AT1G16540	SIR3	chr1	+			5664136.0	5664288.0	5664357.0	5664590.0	2162	0,2,6,6,3,0,3,6	2,6,4,10,1,3,3,12	0,0,3,0,1,0	2,1,7,7,6,1	144	75	5.3440592046e-06	0.0024427694624226	0.0,0.148,0.439,0.238,0.61,0.0,0.342,0.207	0.0,0.0,0.182,0.0,0.08,0.0	0.204	RI											5664136.0	5664590.0	0.204
2184	AT1G69520		chr1	+			26128287.0	26128402.0	26128624.0	26128721.0	2184	3,2,7,9,2,0,2,5	0,1,0,7,0,1,3,0	2,0,6,1,0,1	2,1,3,0,4,0	150	75	0.000252641163502	0.0360882111989888	1.0,0.5,1.0,0.391,1.0,0.0,0.25,1.0	0.333,0.0,0.5,1.0,0.0,1.0	0.17	RI											26128287.0	26128721.0	0.17
2228	AT1G67792		chr1	+			25417377.0	25419294.0	25419490.0	25420252.0	2228	1,4,11,7,2,4,14,9	0,2,0,7,1,2,1,4	3,1,7,12,8,5	0,0,1,1,0,2	150	75	1.40901838401e-05	0.0053671858610914	1.0,0.5,1.0,0.333,0.5,0.5,0.875,0.529	1.0,1.0,0.778,0.857,1.0,0.556	-0.211	RI											25417377.0	25420252.0	-0.211
2860	AT1G05870		chr1	-			1771386.0	1771757.0	1771891.0	1771954.0	2860	11,20,47,73,13,11,46,50	1,2,1,3,1,0,3,0	13,14,42,22,43,22	1,3,7,5,1,6	150	75	1.8860650119e-05	0.0057474687795966	0.846,0.833,0.959,0.924,0.867,1.0,0.885,1.0	0.867,0.7,0.75,0.688,0.956,0.647	0.146	RI											1771386.0	1771954.0	0.146
3052	AT1G28610		chr1	-			10054233.0	10054510.0	10054614.0	10054760.0	3052	6,8,8,17,8,3,7,12	2,4,3,2,1,0,4,1	7,3,28,8,6,8	1,0,1,1,1,0	150	75	1.22516968792e-06	0.000859698402745	0.6,0.5,0.571,0.81,0.8,1.0,0.467,0.857	0.778,1.0,0.933,0.8,0.75,1.0	-0.176	RI											10054233.0	10054760.0	-0.176
3088	AT3G27340		chr3	+			10122353.0	10122418.0	10122538.0	10123128.0	3088	5,11,11,24,9,3,22,22	12,18,29,58,15,8,38,35	2,3,14,5,9,3	12,16,43,36,54,24	150	75	3.73000577203e-06	0.0018944284871054	0.172,0.234,0.159,0.171,0.231,0.158,0.224,0.239	0.077,0.086,0.14,0.065,0.077,0.059	0.115	RI											10122353.0	10123128.0	0.115
3263	AT1G48175	emb2191	chr1	+			17790396.0	17791013.0	17791088.0	17791303.0	3263	1,5,15,12,2,0,6,16	3,8,9,5,2,3,2,6	2,0,5,2,4,0	1,1,13,12,11,6	150	75	0.000355993806182	0.0428223075804716	0.143,0.238,0.455,0.545,0.333,0.0,0.6,0.571	0.5,0.0,0.161,0.077,0.154,0.0	0.212	RI											17790396.0	17791303.0	0.212
3291	AT1G22650	INVD	chr1	-			8013352.0	8013821.0	8014119.0	8014678.0	3291	0,0,4,8,3,2,4,5	9,3,9,16,2,2,11,7	0,1,3,1,0,0	2,3,10,3,11,6	150	75	3.50885217999e-05	0.0095848633081393	0.0,0.0,0.182,0.2,0.429,0.333,0.154,0.263	0.0,0.143,0.13,0.143,0.0,0.0	0.126	RI											8013352.0	8014678.0	0.126
3789	AT4G02005		chr4	-			876907.0	878510.0	878578.0	878628.0	3789	5,8,20,9,4,4,49,7	0,0,1,0,0,1,4,0	2,11,29,13,27,8	0,0,3,4,3,3	143	75	3.65419568849e-06	0.0018944284871054	1.0,1.0,0.913,1.0,1.0,0.677,0.865,1.0	1.0,1.0,0.835,0.63,0.825,0.583	0.12	RI											876907.0	878628.0	0.12
4177	AT5G60430		chr5	+			24301548.0	24301824.0	24302238.0	24302640.0	4177	4,3,7,13,3,3,32,10	0,0,1,2,1,0,6,4	2,3,6,7,5,5	0,0,0,0,2,0	150	75	0.000164896111826	0.0294248820184496	1.0,1.0,0.778,0.765,0.6,1.0,0.727,0.556	1.0,1.0,1.0,1.0,0.556,1.0	-0.123	RI											24301548.0	24302640.0	-0.123
