sample_name	study_id	condition	tissue	genotype	light	replicate	is_flight
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	ground_control	root	Col-0	light	Rep2	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep1	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep2	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep3	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep1	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep2	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13_GLbulkRNAseq	OSD-120	ground_control	root		light	Rep3	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13_GLbulkRNAseq	OSD-120	ground_control	root	Col-0	dark	Rep1	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13_GLbulkRNAseq	OSD-120	ground_control	root	Col-0	dark	Rep2	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13_GLbulkRNAseq	OSD-120	ground_control	root	Col-0	dark	Rep3	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep1	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep2	0
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep3	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep1	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep2	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13_GLbulkRNAseq	OSD-120	ground_control	root		dark	Rep3	0
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	light	Rep1	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	light	Rep2	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	light	Rep3	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep1	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep2	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep3	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep1	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep2	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13_GLbulkRNAseq	OSD-120	flight	root		light	Rep3	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	dark	Rep1	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	dark	Rep2	1
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13_GLbulkRNAseq	OSD-120	flight	root	Col-0	dark	Rep3	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep1	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep2	1
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep3	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep1	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep2	1
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13_GLbulkRNAseq	OSD-120	flight	root		dark	Rep3	1
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13_GLbulkRNAseq	OSD-120	ground_control	root	Col-0	light	Rep3	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep1	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep1	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3_GLbulkRNAseq	OSD-37	flight				Rep1	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep2	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep2	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep3	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2_GLbulkRNAseq	OSD-37	flight				Rep2	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep3	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep4	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5_GLbulkRNAseq	OSD-37	flight				Rep3	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep1	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep1	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3_GLbulkRNAseq	OSD-37	ground_control				Rep1	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep2	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep2	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep3	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2_GLbulkRNAseq	OSD-37	ground_control				Rep2	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep3	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep4	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5_GLbulkRNAseq	OSD-37	ground_control				Rep3	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep5	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep4	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3_GLbulkRNAseq	OSD-37	flight				Rep4	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep6	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep5	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep7	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2_GLbulkRNAseq	OSD-37	flight				Rep5	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3_GLbulkRNAseq	OSD-37	flight		Ler-0		Rep6	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4_GLbulkRNAseq	OSD-37	flight		Ws-2		Rep8	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5_GLbulkRNAseq	OSD-37	flight				Rep6	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep5	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep4	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3_GLbulkRNAseq	OSD-37	ground_control				Rep4	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep6	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep5	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep7	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2_GLbulkRNAseq	OSD-37	ground_control				Rep5	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3_GLbulkRNAseq	OSD-37	ground_control		Ler-0		Rep6	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4_GLbulkRNAseq	OSD-37	ground_control		Ws-2		Rep8	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5_GLbulkRNAseq	OSD-37	ground_control				Rep6	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1_GLbulkRNAseq	OSD-37	flight		Col-0		Rep1	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4_GLbulkRNAseq	OSD-37	flight		Col-0		Rep2	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1_GLbulkRNAseq	OSD-37	flight		Col-0		Rep3	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4_GLbulkRNAseq	OSD-37	flight		Col-0		Rep4	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep1	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep2	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep3	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep4	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1_GLbulkRNAseq	OSD-37	flight		Col-0		Rep5	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4_GLbulkRNAseq	OSD-37	flight		Col-0		Rep6	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1_GLbulkRNAseq	OSD-37	flight		Col-0		Rep7	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4_GLbulkRNAseq	OSD-37	flight		Col-0		Rep8	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep5	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep6	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep7	0
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4_GLbulkRNAseq	OSD-37	ground_control		Col-0		Rep8	0
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight		Col-0	dark	rep1	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight		Col-0	dark	rep2	1
GLDS-612_rna_seq_Flight_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight		Col-0	dark	rep3	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight		Col-0	light	rep1	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight		Col-0	light	rep2	1
GLDS-612_rna_seq_Flight_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight		Col-0	light	rep3	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight		phyD	dark	rep1	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight		phyD	dark	rep2	1
GLDS-612_rna_seq_Flight_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight		phyD	dark	rep3	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight		phyD	light	rep1	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight		phyD	light	rep2	1
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight		phyD	light	rep3	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	flight	whole_seedling		dark	rep1	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	flight	whole_seedling		dark	rep2	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	flight	whole_seedling		dark	rep3	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	flight	whole_seedling		light	rep1	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	flight	whole_seedling		light	rep2	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	flight	whole_seedling		light	rep3	1
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control		Col-0	dark	rep1	0
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control		Col-0	dark	rep2	0
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control		Col-0	dark	rep3	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control		Col-0	light	rep1	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control		Col-0	light	rep2	0
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control		Col-0	light	rep3	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control		phyD	dark	rep1	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control		phyD	dark	rep2	0
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control		phyD	dark	rep3	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control		phyD	light	rep1	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control		phyD	light	rep2	0
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control		phyD	light	rep3	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		dark	rep1	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		dark	rep2	0
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		dark	rep3	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		light	rep1	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		light	rep2	0
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	ground_control	whole_seedling		light	rep3	0
