ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	dPSI
35	AT4G35785		chr4	-	16953703.0	16953890.0	16953522.0	16953592.0	16953969.0	16954119.0	35	306,180,240,266,200,211,293,323,226,168,206,210	104,108,83,164,112,166,122,106,58,83,90,87	178,236,171,269,158,192,172,181	150,117,116,135,182,128,147,192	300	150	8.43178895671e-06	0.0007219719294182	0.595,0.455,0.591,0.448,0.472,0.389,0.546,0.604,0.661,0.503,0.534,0.547	0.372,0.502,0.424,0.499,0.303,0.429,0.369,0.32	0.127	SE													0.127
36	AT4G35785		chr4	-	16953724.0	16953890.0	16953522.0	16953592.0	16953969.0	16954119.0	36	294,191,238,293,216,230,306,341,229,196,216,222	104,108,83,164,112,166,122,106,58,83,90,87	201,243,192,275,165,200,193,190	150,117,116,135,182,128,147,192	300	150	5.64364800859e-06	0.0005241896794419	0.586,0.469,0.589,0.472,0.491,0.409,0.556,0.617,0.664,0.541,0.545,0.561	0.401,0.509,0.453,0.505,0.312,0.439,0.396,0.331	0.123	SE													0.123
422	AT4G09680	CTC1	chr4	+	6121458.0	6121567.0	6121178.0	6121395.0	6122087.0	6122407.0	422	71,72,54,92,77,48,51,68,55,45,49,60	0,2,0,1,0,0,0,0,0,0,0,0	44,54,46,32,56,35,41,33	4,4,4,3,3,2,20,0	259	150	1.11022302463e-16	2.028007391657467e-13	1.0,0.954,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.864,0.887,0.869,0.861,0.915,0.91,0.543,1.0	0.139	SE													0.139
909	AT2G45540	BCHC2	chr2	-	18772421.0	18772459.0	18770275.0	18772281.0	18772631.0	18772906.0	909	3,0,2,2,18,8,6,4,11,1,0,5	37,42,23,42,42,45,44,54,66,26,23,51	15,32,18,7,31,8,0,25	61,40,47,52,73,76,46,67	188	150	2.70106221054e-05	0.0018736482169315	0.061,0.0,0.065,0.037,0.255,0.124,0.098,0.056,0.117,0.03,0.0,0.073	0.164,0.39,0.234,0.097,0.253,0.077,0.0,0.229	-0.104	SE													-0.104
1062	AT4G17310		chr4	-	9685902.0	9686024.0	9685185.0	9685710.0	9686497.0	9686616.0	1062	18,18,51,55,33,38,42,13,23,12,27,20	19,0,8,2,3,8,11,0,8,5,5,0	35,22,14,18,19,38,25,20	0,4,3,0,2,2,0,0	272	150	5.73865332858e-05	0.0034942022489576	0.343,1.0,0.779,0.938,0.858,0.724,0.678,1.0,0.613,0.57,0.749,1.0	1.0,0.752,0.72,1.0,0.84,0.913,1.0,1.0	-0.132	SE													-0.132
1184	AT3G60286		chr3	-	22282179.0	22282255.0	22281686.0	22281990.0	22282702.0	22283103.0	1184	41,30,74,11,24,28,31,16,23,29,33,39	0,0,0,0,0,0,0,7,8,0,0,0	18,52,27,49,20,13,8,5	4,4,1,2,0,3,8,0	226	150	4.74563998691e-05	0.0029552394463939	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.603,0.656,1.0,1.0,1.0	0.749,0.896,0.947,0.942,1.0,0.742,0.399,1.0	0.104	SE													0.104
1332	AT3G52720	ACA1	chr3	-	19541255.0	19541343.0	19541043.0	19541149.0	19542011.0	19542286.0	1332	294,290,327,558,458,410,386,259,384,54,149,475	256,113,776,599,195,179,775,203,285,113,96,327	375,652,467,576,95,85,28,31	161,293,236,235,8,2,0,2	238	150	8.35164082336e-09	2.080317805091491e-06	0.42,0.618,0.21,0.37,0.597,0.591,0.239,0.446,0.459,0.231,0.494,0.478	0.595,0.584,0.555,0.607,0.882,0.964,1.0,0.907	-0.332	SE													-0.332
1770	AT3G23255		chr3	+	8312274.0	8312391.0	8311965.0	8312086.0	8312486.0	8312570.0	1770	42,76,55,20,69,63,44,49,43,30,52,27	5,0,1,4,3,0,0,0,2,0,0,8	41,58,25,64,18,39,49,49	0,2,7,3,16,0,4,13	267	150	0.00099473122683	0.0320654536648729	0.825,1.0,0.969,0.737,0.928,1.0,1.0,1.0,0.924,1.0,1.0,0.655	1.0,0.942,0.667,0.923,0.387,1.0,0.873,0.679	0.111	SE													0.111
1821	AT5G06265		chr5	+	1905778.0	1906172.0	1905247.0	1905383.0	1906563.0	1906766.0	1821	119,180,222,195,96,146,205,94,138,137,133,108	43,44,78,75,67,99,37,42,44,51,55,47	126,160,101,107,63,73,35,80	55,51,74,54,51,67,34,50	300	150	0.00142216983628	0.0429034700941428	0.58,0.672,0.587,0.565,0.417,0.424,0.735,0.528,0.611,0.573,0.547,0.535	0.534,0.611,0.406,0.498,0.382,0.353,0.34,0.444	0.118	SE													0.118
1823	AT5G06265		chr5	+	1905778.0	1906243.0	1905286.0	1905383.0	1906563.0	1906766.0	1823	119,180,222,195,96,146,205,94,135,137,130,108	43,44,78,75,67,99,37,42,44,51,55,47	126,154,101,107,61,73,35,80	55,51,74,54,51,67,34,50	300	150	0.00116780472087	0.0367791371860206	0.58,0.672,0.587,0.565,0.417,0.424,0.735,0.528,0.605,0.573,0.542,0.535	0.534,0.602,0.406,0.498,0.374,0.353,0.34,0.444	0.12	SE													0.12
