ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	dPSI
149	AT4G27860		chr4	+	13875111.0	13875246.0	13874953.0	13875037.0	13875322.0	13875577.0	149	56,48,54,57,51,61,63,26,61,39,134,73,71,74,55,38,22	0,20,26,0,0,0,0,9,20,0,0,0,0,0,0,0,0	61,80,87	13,29,15	248	124	4.860778446410001e-12	9.702113779034361e-09	1.0,0.545,0.509,1.0,1.0,1.0,1.0,0.591,0.604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.701,0.58,0.744	0.222	SE													0.222
150	AT4G27860		chr4	+	13875156.0	13875246.0	13874953.0	13875037.0	13875322.0	13875577.0	150	56,47,50,57,51,59,62,24,59,39,132,71,70,74,53,38,22	0,20,26,0,0,0,0,9,20,0,0,0,0,0,0,0,0	61,79,82	13,29,15	214	124	4.4898529338900004e-12	9.702113779034361e-09	1.0,0.577,0.527,1.0,1.0,1.0,1.0,0.607,0.631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.731,0.612,0.76	0.201	SE													0.201
1080	AT2G16940		chr2	-	7345967.0	7345995.0	7345694.0	7345776.0	7346107.0	7346177.0	1080	7,5,5,2,0,3,1,2,5,2,0,1,2,3,1,1,3	4,3,4,3,2,2,0,3,5,3,3,7,5,3,6,1,0	0,0,0	4,10,9	152	124	4.49696873073e-08	5.385569751922249e-05	0.588,0.576,0.505,0.352,0.0,0.55,1.0,0.352,0.449,0.352,0.0,0.104,0.246,0.449,0.12,0.449,1.0	0.0,0.0,0.0	0.417	SE													0.417
1119	AT4G17310		chr4	-	9685902.0	9686024.0	9685185.0	9685710.0	9686497.0	9686616.0	1119	11,20,12,12,1,17,10,7,20,11,17,30,13,7,7,8,7	0,2,4,2,1,1,4,0,2,0,1,2,5,2,2,0,0	10,16,19	1,0,0	246	124	6.40575805556e-05	0.0239735495229333	1.0,0.834,0.602,0.752,0.335,0.895,0.558,1.0,0.834,1.0,0.895,0.883,0.567,0.638,0.638,1.0,1.0	0.834,1.0,1.0	-0.155	SE													-0.155
1949	AT5G06265		chr5	+	1905778.0	1906172.0	1905247.0	1905383.0	1906566.0	1906766.0	1949	6,2,6,7,4,7,11,5,9,7,2,4,6,8,4,9,3	1,2,1,1,0,0,0,0,1,2,1,2,0,3,1,3,0	3,17,3	1,8,3	248	124	5.42077345158e-05	0.0216397276187073	0.75,0.333,0.75,0.778,1.0,1.0,1.0,1.0,0.818,0.636,0.5,0.5,1.0,0.571,0.667,0.6,1.0	0.6,0.515,0.333	0.276	SE													0.276
2449	AT5G24670		chr5	+	8448419.0	8448555.0	8447496.0	8448345.0	8448854.0	8448952.0	2449	39,42,33,17,17,17,23,17,35,42,44,26,23,20,22,7,6	4,7,6,4,2,5,0,2,2,4,8,7,4,6,0,7,2	28,117,75	0,6,1	248	124	7.85321425389e-06	0.0039816957518059	0.83,0.75,0.733,0.68,0.81,0.63,1.0,0.81,0.897,0.84,0.733,0.65,0.742,0.625,1.0,0.333,0.6	1.0,0.907,0.974	-0.215	SE													-0.215
2727	AT3G20270		chr3	+	7067493.0	7067544.0	7067056.0	7067116.0	7067771.0	7068038.0	2727	12,11,9,2,2,3,9,1,1,2,9,9,6,5,6,2,5	12,5,3,4,1,2,1,0,1,1,1,4,6,2,4,3,1	5,12,14	0,2,0	175	124	4.52457012734e-06	0.0030103473247235	0.415,0.609,0.68,0.262,0.586,0.515,0.864,1.0,0.415,0.586,0.864,0.615,0.415,0.639,0.515,0.321,0.78	1.0,0.81,1.0	-0.344	SE													-0.344
4745	AT5G26146		chr5	+	9137544.0	9137685.0	9135912.0	9136002.0	9137792.0	9138264.0	4745	4,11,5,3,3,2,2,11,18,13,10,5,9,6,3,5,3	2,0,0,1,1,2,0,5,2,0,0,2,0,2,0,0,0	4,4,28	2,2,10	248	124	6.47367936479e-07	0.000646073200606	0.5,1.0,1.0,0.6,0.6,0.333,1.0,0.524,0.818,1.0,1.0,0.556,1.0,0.6,1.0,1.0,1.0	0.5,0.5,0.583	0.268	SE													0.268
6267	AT3G29010		chr3	+	11006931.0	11007123.0	11006581.0	11006762.0	11007205.0	11007444.0	6267	23,20,12,8,21,11,12,16,24,16,28,13,18,19,16,10,14	2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,1,0	15,31,17	3,5,0	248	124	4.2105982582e-05	0.0180093302643582	0.852,1.0,1.0,1.0,1.0,0.733,1.0,1.0,1.0,0.8,1.0,0.765,1.0,1.0,0.8,0.833,1.0	0.714,0.756,1.0	0.105	SE													0.105
219	AT2G38710		chr2	-							219	4,3,7,13,6,7,4,5,6,7,6,7,12,8,3,3,1	2,0,1,1,0,0,0,2,3,1,1,1,0,2,0,0,0	6,5,15	3,2,4	135	124	1.57015128577e-06	0.0004516801865398	0.648,1.0,0.865,0.923,1.0,1.0,1.0,0.697,0.648,0.865,0.846,0.865,1.0,0.786,1.0,1.0,1.0	0.648,0.697,0.775	0.184	A5SS	16186904.0	16187273.0	16186915.0	16187273.0	16186660.0	16186823.0							0.184
